frames,interpolated,manual_tracker_fix,measurement_x,measurement_y,objid,pixel_height,pixel_width,position_x,position_y
576,,True,334,213,,224,559,334,213
577,,True,334,213,,224,559,334,213
578,,True,334,213,,224,559,334,213
579,,True,334,213,,224,559,334,213
580,,True,334,213,,224,559,334,213
581,,True,334,213,,224,559,334,213
582,,True,334,213,,224,559,334,213
583,,True,334,213,,224,559,334,213
584,,True,334,213,,224,559,334,213
585,,True,334,213,,224,559,334,213
586,,True,334,213,,224,559,334,213
587,,True,334,213,,224,559,334,213
588,,True,334,213,,224,559,334,213
589,,True,334,213,,224,559,334,213
590,,True,334,213,,224,559,334,213
591,,True,334,213,,224,559,334,213
592,,True,334,213,,224,559,334,213
593,,True,334,213,,224,559,334,213
594,,True,334,213,,224,559,334,213
595,,True,334,213,,224,559,334,213
596,,True,334,213,,224,559,334,213
597,,True,334,213,,224,559,334,213
598,,True,334,213,,224,559,334,213
599,,True,334,213,,224,559,334,213
600,,True,334,213,,224,559,334,213
601,,True,334,213,,224,559,334,213
602,,True,334,213,,224,559,334,213
603,,True,334,213,,224,559,334,213
604,,True,334,213,,224,559,334,213
605,,True,334,213,,224,559,334,213
606,,True,334,213,,224,559,334,213
607,,True,334,213,,224,559,334,213
608,,True,334,213,,224,559,334,213
609,,True,334,213,,224,559,334,213
610,,True,334,213,,224,559,334,213
611,,True,334,213,,224,559,334,213
612,,True,334,213,,224,559,334,213
613,,True,334,213,,224,559,334,213
614,,True,334,213,,224,559,334,213
615,,True,334,213,,224,559,334,213
616,,True,334,213,,224,559,334,213
617,,True,334,213,,224,559,334,213
618,,True,334,213,,224,559,334,213
619,,True,334,213,,224,559,334,213
620,,True,334,213,,224,559,334,213
621,,True,334,213,,224,559,334,213
622,,True,334,213,,224,559,334,213
623,,True,334,213,,224,559,334,213
624,,True,334,213,,224,559,334,213
625,,True,334,213,,224,559,334,213
626,,True,334,213,,224,559,334,213
627,,True,334,213,,224,559,334,213
628,,True,334,213,,224,559,334,213
629,,True,334,213,,224,559,334,213
630,,True,334,213,,224,559,334,213
631,,True,334,213,,224,559,334,213
632,,True,334,213,,224,559,334,213
633,,True,334,213,,224,559,334,213
634,,True,334,213,,224,559,334,213
635,,True,334,213,,224,559,334,213
636,,True,334,213,,224,559,334,213
637,,True,334,213,,224,559,334,213
638,,True,334,213,,224,559,334,213
639,,True,334,213,,224,559,334,213
640,,True,334,213,,224,559,334,213
641,,True,334,213,,224,559,334,213
642,,True,334,213,,224,559,334,213
643,,True,334,213,,224,559,334,213
644,,True,334,213,,224,559,334,213
645,,True,334,213,,224,559,334,213
646,,True,334,213,,224,559,334,213
647,,True,334,213,,224,559,334,213
648,,True,334,213,,224,559,334,213
649,,True,334,213,,224,559,334,213
650,,True,334,213,,224,559,334,213
651,,True,334,213,,224,559,334,213
652,,True,334,213,,224,559,334,213
653,,True,334,213,,224,559,334,213
654,,True,334,213,,224,559,334,213
655,,True,334,213,,224,559,334,213
656,,True,334,213,,224,559,334,213
657,,True,334,213,,224,559,334,213
