frames,interpolated,manual_tracker_fix,measurement_x,measurement_y,objid,pixel_height,pixel_width,position_x,position_y
312,,True,137,29,,229,566,137,29
313,,True,137,29,,229,566,137,29
314,,True,137,29,,229,566,137,29
315,,True,137,29,,229,566,137,29
316,,True,137,29,,229,566,137,29
317,,True,137,29,,229,566,137,29
318,,True,137,29,,229,566,137,29
319,,True,137,29,,229,566,137,29
320,,True,137,29,,229,566,137,29
321,,True,137,29,,229,566,137,29
322,,True,137,29,,229,566,137,29
323,,True,137,29,,229,566,137,29
324,,True,137,29,,229,566,137,29
325,,True,137,29,,229,566,137,29
326,,True,137,29,,229,566,137,29
327,,True,137,29,,229,566,137,29
328,,True,137,29,,229,566,137,29
329,,True,137,29,,229,566,137,29
330,,True,137,29,,229,566,137,29
331,,True,137,29,,229,566,137,29
332,,True,137,29,,229,566,137,29
333,,True,137,29,,229,566,137,29
334,,True,137,29,,229,566,137,29
335,,True,137,29,,229,566,137,29
336,,True,137,29,,229,566,137,29
337,,True,137,29,,229,566,137,29
338,,True,137,29,,229,566,137,29
339,,True,137,29,,229,566,137,29
340,,True,137,29,,229,566,137,29
341,,True,137,29,,229,566,137,29
342,,True,137,29,,229,566,137,29
343,,True,137,29,,229,566,137,29
344,,True,137,29,,229,566,137,29
345,,True,137,29,,229,566,137,29
346,,True,137,29,,229,566,137,29
347,,True,137,29,,229,566,137,29
348,,True,137,29,,229,566,137,29
349,,True,137,29,,229,566,137,29
350,,True,137,29,,229,566,137,29
351,,True,137,29,,229,566,137,29
352,,True,137,29,,229,566,137,29
353,,True,137,29,,229,566,137,29
354,,True,137,29,,229,566,137,29
355,,True,137,29,,229,566,137,29
356,,True,137,29,,229,566,137,29
357,,True,137,29,,229,566,137,29
358,,True,137,29,,229,566,137,29
359,,True,137,29,,229,566,137,29
360,,True,137,29,,229,566,137,29
361,,True,137,29,,229,566,137,29
362,,True,137,29,,229,566,137,29
363,,True,137,29,,229,566,137,29
364,,True,137,29,,229,566,137,29
365,,True,137,29,,229,566,137,29
366,,True,137,29,,229,566,137,29
367,,True,137,29,,229,566,137,29
368,,True,137,29,,229,566,137,29
369,,True,137,29,,229,566,137,29
370,,True,137,29,,229,566,137,29
371,,True,137,29,,229,566,137,29
372,,True,137,29,,229,566,137,29
373,,True,137,29,,229,566,137,29
374,,True,137,29,,229,566,137,29
375,,True,137,29,,229,566,137,29
376,,True,137,29,,229,566,137,29
377,,True,137,29,,229,566,137,29
378,,True,137,29,,229,566,137,29
379,,True,137,29,,229,566,137,29
380,,True,137,29,,229,566,137,29
381,,True,137,29,,229,566,137,29
382,,True,137,29,,229,566,137,29
383,,True,137,29,,229,566,137,29
384,,True,137,29,,229,566,137,29
385,,True,137,29,,229,566,137,29
386,,True,137,29,,229,566,137,29
387,,True,137,29,,229,566,137,29
388,,True,137,29,,229,566,137,29
389,,True,137,29,,229,566,137,29
390,,True,137,29,,229,566,137,29
391,,True,137,29,,229,566,137,29
392,,True,137,29,,229,566,137,29
393,,True,137,29,,229,566,137,29
394,,True,137,29,,229,566,137,29
395,,True,137,29,,229,566,137,29
396,,True,137,29,,229,566,137,29
397,,True,137,29,,229,566,137,29
398,,True,137,29,,229,566,137,29
399,,True,137,29,,229,566,137,29
400,,True,137,29,,229,566,137,29
401,,True,137,29,,229,566,137,29
402,,True,137,29,,229,566,137,29
403,,True,137,29,,229,566,137,29
404,,True,137,29,,229,566,137,29
405,,True,137,29,,229,566,137,29
406,,True,137,29,,229,566,137,29
407,,True,137,29,,229,566,137,29
408,,True,137,29,,229,566,137,29
409,,True,137,29,,229,566,137,29
410,,True,137,29,,229,566,137,29
411,,True,137,29,,229,566,137,29
412,,True,137,29,,229,566,137,29
413,,True,137,29,,229,566,137,29
414,,True,137,29,,229,566,137,29
415,,True,137,29,,229,566,137,29
416,,True,137,29,,229,566,137,29
417,,True,137,29,,229,566,137,29
418,,True,137,29,,229,566,137,29
419,,True,137,29,,229,566,137,29
420,,True,137,29,,229,566,137,29
421,,True,137,29,,229,566,137,29
422,,True,137,29,,229,566,137,29
423,,True,137,29,,229,566,137,29
424,,True,137,29,,229,566,137,29
425,,True,137,29,,229,566,137,29
426,,True,137,29,,229,566,137,29
427,,True,137,29,,229,566,137,29
428,,True,137,29,,229,566,137,29
429,,True,137,29,,229,566,137,29
430,,True,137,29,,229,566,137,29
431,,True,137,29,,229,566,137,29
432,,True,137,29,,229,566,137,29
433,,True,137,29,,229,566,137,29
434,,True,137,29,,229,566,137,29
435,,True,137,29,,229,566,137,29
436,,True,137,29,,229,566,137,29
437,,True,137,29,,229,566,137,29
438,,True,137,29,,229,566,137,29
