frames,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix,larvae_length_mm,pos_x_mm,pos_y_mm,speed_mm_s,speed_BL,angle_counterclock,angle_delta,bin_ID,concentration,concentration_delta,moving,turn
60,404.0,191.0,0,403.984409277,191.004287278,555,218,False,5.1,58.23198692281081,26.28499366211009,1.1918974945699827,0.2337053910921535,-166.58039531646583,2.9401206261886728,bin_2138,0.55,0.0038333333333333552,True,False
61,399.0,191.0,0,399.011173733,190.98380041400003,555,218,False,5.1,57.5151241416937,26.282174368899085,1.4337366499677326,0.28112483332700644,-179.77466709997339,-13.19427178350756,bin_2137,0.5529999999999999,0.0029999999999998916,True,False
62,394.0,190.0,0,394.004977423,190.010946792,555,218,False,5.1,56.79351025917118,26.148295430091743,1.4678558045058834,0.2878148636286046,-169.48958281335788,10.2850842866155,bin_2136,0.5883333333333334,0.03533333333333344,True,False
63,390.0,190.0,0,389.984057731,189.98705651,555,218,False,5.1,56.2139182314955,26.145007776605503,1.1592027039489723,0.22729464783313183,-179.67500131124493,-10.185418497887042,bin_2136,0.5925,0.004166666666666652,True,False
64,384.0,192.0,0,384.028879029,191.958688445,555,218,False,5.1,55.355514094270276,26.41633327224771,1.800527908576666,0.353044687956209,162.45922869203238,-17.86576999672269,bin_2135,0.6026666666666667,0.010166666666666657,True,False
65,378.0,192.0,0,378.012430017,192.01852910099998,555,218,False,5.1,54.48827820064865,26.424568224908256,1.7345499815583534,0.3401078395212458,179.45595672980423,16.996728037771845,bin_2134,0.6629166666666666,0.060249999999999915,True,False
66,372.0,193.0,0,372.004712602,192.99069331099997,555,218,False,5.1,53.6223009156036,26.558352290504583,1.7525008809372675,0.3436276237131897,171.2178539478364,-8.238102781967825,bin_2133,0.7415,0.07858333333333345,True,False
67,367.0,193.0,0,366.98392394800004,193.013591718,555,218,False,5.1,52.898583632144145,26.56150344743119,1.447448287391177,0.2838133896845445,179.75052847893923,8.532674531102828,bin_2132,0.7503333333333333,0.008833333333333249,True,False
68,360.0,194.0,0,360.02882748699994,193.98804594400002,555,218,False,5.1,51.896047205333325,26.695602652844038,2.0229304327880038,0.39665302603686353,172.38134254778407,-7.369185931155158,bin_2131,0.9023333333333333,0.15200000000000002,True,False
69,353.0,194.0,0,353.012410727,194.01256637900002,555,218,False,5.1,50.8846718165045,26.69897702463303,2.0227620359435523,0.3966200070477554,179.80883799747605,7.427495449691975,bin_2130,0.87625,-0.026083333333333347,True,False
70,353.0,202.0,0,352.879851115,201.862807643,555,218,False,5.1,50.86556412468469,27.779285455458716,2.1609547978611072,0.4237166270315897,91.01329946461998,-88.79553853285607,bin_2210,1.1716666666666666,0.29541666666666666,True,True
71,373.0,202.0,0,372.592521018,202.084767434,555,218,False,5.1,53.707030056648655,27.809830380825687,5.683260203431663,1.1143647457709145,0.6158891023839813,-90.397410362236,bin_2213,0.9572499999999999,-0.2144166666666667,True,True
72,374.0,201.0,0,374.16965962800003,201.055934012,555,218,False,5.1,53.93436535178379,27.668247799816513,0.5356378017257485,0.1050270199462252,-31.914316078262026,-32.53020518064601,bin_2213,0.962,0.004750000000000032,False,True
73,371.0,199.0,0,371.149967062,199.03984857900002,555,218,False,5.1,53.499094351279275,27.390804850321103,1.0323476819461799,0.2024211141070941,-147.48644987032907,-115.57213379206704,bin_2213,0.96675,0.004750000000000032,True,True
74,367.0,196.0,0,367.077881935,196.033597804,555,218,False,5.1,52.912127125765764,26.977100615229357,1.436219646098571,0.2816116953134453,-144.82318386444547,2.6632660058835995,bin_2132,0.7806666666666666,-0.18608333333333338,True,False
75,361.0,193.0,0,361.06575263199994,193.01341949099998,555,218,False,5.1,52.04551389290089,26.561479746467885,1.9222478528291245,0.3769113436919852,-154.37799133389274,-9.554807469447269,bin_2132,0.785,0.004333333333333411,True,False
76,352.0,195.0,0,352.07977346800004,194.91586294200002,555,218,False,5.1,50.75023761700901,26.82328389110092,2.642939303907959,0.5182233929231292,168.57319663759307,-37.04881202851419,bin_2130,0.9083333333333334,0.1233333333333334,True,True
77,344.0,199.0,0,344.014541249,198.92870243099998,555,218,False,5.1,49.58768162147748,27.375509508853206,2.574093685667411,0.5047242520916492,154.59181866045958,-13.98137797713349,bin_2209,1.2976666666666667,0.3893333333333333,True,False
78,335.0,204.0,0,335.02252908099996,203.953678719,555,218,False,5.1,48.291535723387376,28.067020007201837,2.938149729651075,0.5761077901276618,151.91950566715667,-2.67231299330291,bin_2288,1.88,0.5823333333333331,True,False
79,327.0,206.0,0,326.991379375,206.035299309,555,218,False,5.1,47.13389252252252,28.353481556284404,2.3851188646366523,0.4676703656150299,166.1012209517542,14.181715284597516,bin_2287,1.9415,0.06150000000000011,True,False
80,324.0,204.0,0,323.906790946,204.087017357,555,218,False,5.1,46.689267163387385,28.085369361055047,1.0384139044075922,0.20361056949168477,-148.9097296794432,44.989049368802625,bin_2286,2.0566666666666666,0.11516666666666664,True,True
81,321.0,203.0,0,320.960952788,203.01813099,555,218,False,5.1,46.26464184331531,27.938274906880736,0.8987623510030899,0.17622791196139018,-160.89340326730914,-11.983673587865951,bin_2206,1.58075,-0.47591666666666654,False,False
82,319.0,203.0,0,318.967404077,202.98823696,555,218,False,5.1,45.97728347055856,27.934161049541284,0.5747756369771294,0.11270110528963323,-179.17980269727246,-18.286399429963325,bin_2205,1.6255,0.044749999999999845,False,False
83,318.0,202.0,0,317.96915125,202.01256575099998,555,218,False,5.1,45.833391171171165,27.79989436940367,0.39361166252116225,0.07717875735709065,-136.981914716653,42.19788798061947,bin_2205,1.6332499999999999,0.007749999999999924,False,True
84,316.0,202.0,0,316.005443647,201.987658265,555,218,False,5.1,45.55033421938739,27.796466733715597,0.566155408486164,0.11101086440905177,-179.30621926441566,-42.324304547762665,bin_2205,1.641,0.007750000000000146,False,True
85,315.0,201.0,0,314.985003338,201.012421632,555,218,False,5.1,45.4032437243964,27.662259857614682,0.3982315874435934,0.07808462498893988,-137.6223546772246,41.68386458719107,bin_2205,1.64875,0.007749999999999924,False,True
86,313.0,200.0,0,313.01143208,200.005444302,555,218,False,5.1,45.11876498450451,27.523684995688075,0.6328701156112673,0.12409217953162104,-154.02842935242842,-16.406074675203826,bin_2205,1.6564999999999999,0.007749999999999924,False,False
87,312.0,201.0,0,311.987239153,200.966395501,555,218,False,5.1,44.97113357160361,27.655925986376147,0.39639734455860604,0.0777249695212953,138.14757359707608,-67.8239970504955,bin_2204,1.85025,0.1937500000000001,False,True
88,311.0,201.0,0,310.994429259,201.003606163,555,218,False,5.1,44.82802583913514,27.6610467196789,0.28639863827766876,0.05615659574071937,177.95069575975214,39.80312216267606,bin_2204,1.8593333333333333,0.009083333333333332,False,True
89,309.0,201.0,0,309.015721045,201.00211602599998,555,218,False,5.1,44.54280663711712,27.660841654954126,0.570438551471891,0.11185069636703747,-179.95880592488533,2.090498315362538,bin_2204,1.8684166666666666,0.009083333333333332,False,False
90,307.0,201.0,0,307.006711168,201.000825617,555,218,False,5.1,44.25321962781982,27.660664075733948,0.579174127488906,0.11356355440958942,-179.96486534877786,-0.006059423892537552,bin_2204,1.8775,0.009083333333333332,False,False
91,307.0,201.0,0,306.966869458,201.000309488,555,218,False,5.1,44.24747667863063,27.66059304880734,0.011486776782692474,0.0022523091730769556,-179.2914205715809,0.6734447771969769,bin_2204,1.8865833333333333,0.009083333333333332,False,False
92,306.0,201.0,0,306.00378289900004,201.000115436,555,218,False,5.1,44.108653390846854,27.66056634440367,0.27764658070448633,0.05444050602048752,-179.98897843704583,-0.6975578654649439,bin_2204,1.8956666666666666,0.009083333333333332,False,False
93,306.0,201.0,0,305.984345575,201.000043029,555,218,False,5.1,44.10585161441442,27.660556380137614,0.005603588301773823,0.001098742804269377,-179.79623356903687,0.1927448680089583,bin_2204,1.90475,0.009083333333333332,False,False
94,306.0,201.0,0,305.993348739,201.00001603799998,555,218,False,5.1,44.107149367783784,27.660552665779814,0.002595517369736007,0.0005089249744580406,-0.16398835818429927,179.63224521085257,bin_2204,1.9138333333333333,0.009083333333333332,False,True
95,307.0,202.0,0,306.979645566,201.98216965,555,218,False,5.1,44.249318279783786,27.79571141972477,0.39232582534020277,0.0769266324196476,43.552012631191886,43.716000989376184,bin_2204,1.9229166666666666,0.009083333333333332,False,True
96,307.0,201.0,0,307.009394489,201.028173451,555,218,False,5.1,44.25360641282883,27.66442753912844,0.26270778739461736,0.051511330861689686,-88.12920972459091,-131.68122235578278,bin_2204,1.932,0.009083333333333332,False,True
97,308.0,201.0,0,307.986477765,200.994330621,555,218,False,5.1,44.39444724540541,27.659770268944953,0.2818356278856594,0.05526188782071754,-1.89394455781309,86.23526516677782,bin_2204,1.9410833333333333,0.009083333333333332,False,True
98,308.0,201.0,0,308.011981712,200.99711311599998,555,218,False,5.1,44.39812349001802,27.660153181100913,0.007392265193010862,0.0014494637633354632,5.946400646074714,7.8403452038878045,bin_2204,1.9501666666666666,0.009083333333333332,False,False
99,308.0,201.0,0,308.005280341,200.998886983,555,218,False,5.1,44.39715752663063,27.660397291238535,0.0019926615619066342,0.00039071795331502637,165.81762672891776,159.87122608284304,bin_2204,1.95925,0.009083333333333332,False,True
100,308.0,201.0,0,308.002007045,200.999583389,555,218,False,5.1,44.396685700180186,27.66049312692661,0.0009629219666136227,0.00018880822874776918,168.51848209386213,2.700855364944374,bin_2204,1.9683333333333333,0.009083333333333332,False,False
101,308.0,201.0,0,308.000749922,200.99984463799998,555,218,False,5.1,44.39650449326126,27.66052907862385,0.0003694778586078109,7.244663894270802e-05,168.77816755212865,0.25968545826651734,bin_2204,1.9774166666666666,0.009083333333333332,False,False
102,308.0,201.0,0,308.00027959700003,200.99994209,555,218,False,5.1,44.39643669866667,27.66054248944954,0.00013821660249993092,2.7101294607829594e-05,168.81046330555137,0.032295753422715734,bin_2204,1.9865,0.009083333333333332,False,False
103,307.0,201.0,0,307.017940542,200.99997841599998,555,218,False,5.1,44.25483827632432,27.660547488440365,0.28319684486118013,0.05552879311003532,179.99797722975134,11.187513924199976,bin_2204,1.9955833333333333,0.009083333333333332,False,False
104,307.0,201.0,0,306.989703947,200.999991955,555,218,False,5.1,44.250768136504504,27.660549351605507,0.008140280492523905,0.0015961334299066483,179.97377203328352,-0.02420519646781827,bin_2204,2.0046666666666666,0.009083333333333332,False,False
105,307.0,201.0,0,306.99534979099997,200.99999700200001,555,218,False,5.1,44.251581951855854,27.660550046146792,0.001627631295447996,0.00031914339126431297,0.04889840747847722,-179.92487362580505,bin_2204,2.01375,0.009083333333333332,False,True
106,307.0,201.0,0,306.998227903,200.999998882,555,218,False,5.1,44.25199681484685,27.660550304862387,0.0008297261433263549,0.00016269140065222647,0.035730614858887635,-0.013167792619589586,bin_2204,2.0228333333333333,0.009083333333333332,False,False
107,306.0,201.0,0,306.017173979,200.999999583,555,218,False,5.1,44.11058363661262,27.660550401330276,0.28282635646852766,0.05545614832716229,179.99996091451303,179.96423029965413,bin_2204,2.0319166666666666,0.009083333333333332,False,True
108,306.0,201.0,0,305.98941814799997,200.999999845,555,218,False,5.1,44.1065827961081,27.66055043738532,0.008001681009359125,0.001568957060658652,179.99948365801734,-0.00047725649568519657,bin_2204,2.041,0.009083333333333332,False,False
109,307.0,201.0,0,306.977406938,200.99999994200002,555,218,False,5.1,44.24899559466667,27.660550450733947,0.2848255971171353,0.05584815629747751,5.370443532193414e-06,-179.9994782875738,bin_2204,2.0500833333333333,0.009083333333333332,False,True
110,306.0,201.0,0,306.026359423,200.999999978,555,218,False,5.1,44.11190766457658,27.66055045568807,0.2741758601801793,0.053759972584348885,179.99999792942816,179.99999255898462,bin_2204,2.0591666666666666,0.009083333333333332,False,True
111,307.0,201.0,0,306.97581631599996,200.999999992,555,218,False,5.1,44.248766315819815,27.66055045761468,0.2737173024864745,0.05367005931107344,8.065731906147825e-07,-179.99999712285498,bin_2204,2.06825,0.009083333333333332,False,True
112,334.0,169.0,0,333.525614385,169.57076248,555,218,False,5.1,48.07576423567567,23.335426029357798,11.550344479449167,2.2647734273429743,-48.49664838780745,-48.49664919438064,bin_1888,1.328,-0.7402499999999999,True,True
113,339.0,158.0,0,339.193317993,157.865482943,555,218,False,5.1,48.89273052151351,21.72460774444954,3.6122953695347033,0.7082932097126869,-63.10702932565086,-14.610380937843416,bin_1728,1.3844166666666666,0.05641666666666656,True,False
114,344.0,154.0,0,344.089765129,153.808391503,555,218,False,5.1,49.598524703279274,21.166292408669722,1.7998460391726057,0.35291098807306,-38.34560168220985,24.76142764344101,bin_1729,1.272,-0.11241666666666661,True,False
115,355.0,150.0,0,354.92728651,149.921814422,555,218,False,5.1,51.16068994738738,20.63144235165138,3.3023778302258933,0.6475250647501752,-18.900044257495917,19.445557424713936,bin_1651,1.1358333333333333,-0.13616666666666677,True,False
