frames,interpolated,manual_tracker_fix,measurement_x,measurement_y,objid,pixel_height,pixel_width,position_x,position_y,larvae_length_mm,pos_x_mm,pos_y_mm,speed_mm_s,speed_BL,angle_counterclock,angle_delta,bin_ID,concentration,concentration_delta,moving,turn
54,,True,305,12,,219,555,305,12,4.6,43.96396396396396,1.643835616438356,0.0,0.0,0.0,0.0,bin_123,2.553,0.014499999999999957,False,False
55,,True,305,12,,219,555,305,12,4.6,43.96396396396396,1.643835616438356,0.0,0.0,0.0,0.0,bin_123,2.5675,0.014499999999999957,False,False
56,,True,305,12,,219,555,305,12,4.6,43.96396396396396,1.643835616438356,0.0,0.0,0.0,0.0,bin_123,2.582,0.014499999999999957,False,False
57,,True,305,12,,219,555,305,12,4.6,43.96396396396396,1.643835616438356,0.0,0.0,0.0,0.0,bin_123,2.5965,0.014499999999999957,False,False
58,,True,305,12,,219,555,305,12,4.6,43.96396396396396,1.643835616438356,0.0,0.0,0.0,0.0,bin_123,2.6109999999999998,0.014499999999999957,False,False
59,,True,305,12,,219,555,305,12,4.6,43.96396396396396,1.643835616438356,0.0,0.0,0.0,0.0,bin_123,2.6254999999999997,0.014499999999999957,False,False
60,,True,305,12,,219,555,305,12,4.6,43.96396396396396,1.643835616438356,0.0,0.0,0.0,0.0,bin_123,2.6399999999999997,0.014499999999999957,False,False
61,,True,305,12,,219,555,305,12,4.6,43.96396396396396,1.643835616438356,0.0,0.0,0.0,0.0,bin_123,2.6544999999999996,0.014499999999999957,False,False
62,,True,305,12,,219,555,305,12,4.6,43.96396396396396,1.643835616438356,0.0,0.0,0.0,0.0,bin_123,2.6689999999999996,0.014499999999999957,False,False
63,,True,305,12,,219,555,305,12,4.6,43.96396396396396,1.643835616438356,0.0,0.0,0.0,0.0,bin_123,2.6835,0.014500000000000401,False,False
64,,True,305,12,,219,555,305,12,4.6,43.96396396396396,1.643835616438356,0.0,0.0,0.0,0.0,bin_123,2.698,0.014499999999999957,False,False
65,,True,305,12,,219,555,305,12,4.6,43.96396396396396,1.643835616438356,0.0,0.0,0.0,0.0,bin_123,2.7125,0.014499999999999957,False,False
