frames,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix,pos_x_mm,pos_y_mm,speed_mm_s,angle_counterclock,angle_delta,bin_ID,concentration,concentration_delta,moving,wall,turn
71,361.0,87.0,0,360.990417905,86.87315858040002,558,228,False,51.75489862437276,11.43067876057895,2.680906766854356,103.06531265409934,-39.8070179108383,bin_931,1.152,0.3903333333333332,True,False,True
72,359.0,90.0,0,358.994114761,90.07241043280001,558,228,False,51.46869028831541,11.851632951684211,1.018071986919985,124.21193123221238,21.146618578113035,bin_931,1.164,0.01200000000000001,True,False,False
73,355.0,91.0,0,355.03336840699995,91.06838872719999,558,228,False,50.90084134867383,11.982682727263155,1.1655495904187976,167.00464435996525,42.792713127752876,bin_930,1.4059166666666667,0.24191666666666678,True,False,True
74,349.0,91.0,0,349.049811392,91.04530706780001,558,228,False,50.0429837121147,11.979645666815792,1.7157260251438518,-179.79715746371534,13.198198176319409,bin_930,1.419833333333333,0.013916666666666355,True,False,False
75,346.0,89.0,0,345.966845046,89.0535076645,558,228,False,49.60098136860215,11.717566797960526,1.0277186486019227,-149.3347944679926,30.462362995722742,bin_929,1.53125,0.11141666666666694,True,False,True
76,339.0,86.0,0,339.056512865,86.0395319574,558,228,False,48.61025274050179,11.320991047026316,2.1343060143912322,-158.18441811558253,-8.849623647589937,bin_928,1.696,0.16474999999999995,True,False,False
77,330.0,82.0,0,330.060031658,82.0335079197,558,228,False,47.32043464630825,10.793882621013157,2.7867357311974392,-157.77169673238294,0.41272138319959595,bin_847,1.8903333333333334,0.19433333333333347,True,False,False
78,325.0,85.0,0,324.952894248,84.8885330421,558,228,False,46.588228566021506,11.169543821328947,1.6459004604551004,152.83973066636628,-49.38857260125076,bin_926,2.0245,0.13416666666666677,True,False,True
79,323.0,85.0,0,322.925608986,85.00603161810001,558,228,False,46.29757834924731,11.185004160276318,0.5821222228750758,176.9551781064122,24.115447440045926,bin_926,2.043916666666667,0.01941666666666686,False,False,False
80,324.0,86.0,0,323.91604455,85.9866885538,558,228,False,46.43957627956989,11.314037967605262,0.3837349900631944,42.26148742684454,-134.69369067956768,bin_926,2.0633333333333335,0.019416666666666416,False,False,True
81,320.0,88.0,0,320.055199321,87.9764576898,558,228,False,45.88605008186379,11.575849696026316,1.2246413886289977,154.68637207666492,112.42488464982038,bin_925,2.51775,0.45441666666666647,True,False,True
82,320.0,89.0,0,319.953367349,89.00817255540001,558,228,False,45.871450515985664,11.711601652026317,0.27306952141647917,96.1383329898049,-58.54803908686003,bin_925,2.5421666666666667,0.024416666666666753,False,False,True
83,324.0,87.0,0,323.908057822,87.05736602629999,558,228,False,46.438431228960575,11.454916582407892,1.2447559662047074,-24.357344680869662,-120.49567767067455,bin_926,2.1215833333333336,-0.4205833333333331,True,False,True
84,325.0,85.0,0,325.01567257700003,85.023980686,558,228,False,46.597229043297496,11.187365879736843,0.6222543670813571,-59.30984404084422,-34.95249935997455,bin_926,2.141,0.019416666666666416,False,False,True
85,324.0,82.0,0,324.043903988,82.0268986958,558,228,False,46.45790738179212,10.793012986289474,0.8364800773119009,-109.45789915768418,-50.14805511683996,bin_846,2.42,0.2789999999999999,False,False,True
86,319.0,84.0,0,319.089530488,83.92170343069999,558,228,False,45.74760293734767,11.042329398776314,1.5055777327429383,160.65895883262195,-89.88314200969387,bin_925,2.6398333333333333,0.21983333333333333,True,False,True
87,319.0,82.0,0,318.947689152,82.0379363146,558,228,False,45.72726726193549,10.79446530455263,0.4973938033381457,-94.690250191436,104.65079097594207,bin_845,2.84375,0.20391666666666675,False,False,True
88,320.0,81.0,0,319.95856638099997,80.99951508779999,558,228,False,45.87219589691755,10.657830932605261,0.3983629542777134,-43.31267295917413,51.377577232261864,bin_845,2.87,0.026250000000000107,False,False,True
89,322.0,82.0,0,321.965670951,81.9634467605,558,228,False,46.159952824516125,10.78466404743421,0.6289377978725188,23.786194813591933,67.09886777276606,bin_846,2.508,-0.3620000000000001,False,False,True
90,324.0,83.0,0,323.986301241,82.9846354374,558,228,False,46.44964892344086,10.919030978605264,0.6386808339837263,24.882827435562373,1.0966326219704392,bin_846,2.5300000000000002,0.02200000000000024,False,False,False
91,325.0,84.0,0,325.012687339,83.99419009479999,558,228,False,46.59680105218638,11.05186711773684,0.39648046031914846,42.07297699408314,17.19014955852077,bin_926,2.2769166666666667,-0.25308333333333355,False,False,False
92,334.0,81.0,0,333.862889634,81.06917588350001,558,228,False,47.865647259354844,10.666996826776316,2.651864127974764,-16.87375955246006,-58.94673654654321,bin_847,2.155333333333333,-0.1215833333333336,True,False,True
93,348.0,76.0,0,347.852927501,76.0648696136,558,228,False,49.8713874553405,10.008535475473684,4.222115623690038,-18.174411120370635,-1.300651567910574,bin_849,1.8634999999999997,-0.2918333333333334,True,False,False
94,352.0,71.0,0,352.118954477,71.02604839760001,558,228,False,50.483004226093186,9.345532683894737,1.804048531395335,-47.30861718012129,-29.134206059750653,bin_770,1.29,-0.5734999999999997,True,True,False
95,367.0,61.0,0,366.856452365,61.0989797881,558,228,False,52.595907149103944,8.039339445802632,4.96809804142589,-31.724290960042172,15.584326220079117,bin_692,0.8758333333333332,-0.4141666666666668,True,True,False
96,390.0,49.0,0,389.79481577800004,49.0768360195,558,228,False,55.884561401863806,6.457478423618421,7.29863852720525,-25.687813744119936,6.036477215922236,bin_535,0.6639999999999999,-0.21183333333333332,True,True,False
97,401.0,42.0,0,401.13030187699997,41.9413678839,558,228,False,57.509720699211464,5.518601037355262,3.7537359993435198,-30.015630572092668,-4.3278168279727325,bin_457,0.61525,-0.04874999999999996,True,True,False
98,401.0,42.0,0,401.25466045300004,41.8491163001,558,228,False,57.52754988573477,5.50646267106579,0.04313791039261443,-34.24759626031786,-4.231965688225195,bin_457,0.6185,0.003250000000000086,False,True,False
99,419.0,44.0,0,418.78372465300004,43.9019159038,558,228,False,60.04067736960573,5.776567882078948,5.0552019050495085,6.134471347782006,40.38206760809987,bin_460,0.4275,-0.19100000000000006,True,True,True
100,432.0,44.0,0,431.993680415,43.9971125958,558,228,False,61.93457783727599,5.789093762605263,3.787883778113883,0.378937350208135,-5.755533997573871,bin_461,0.5066666666666666,0.07916666666666661,True,True,False
101,441.0,47.0,0,441.07254503800004,46.9470261204,558,228,False,63.23620717390681,6.177240278999999,2.7165394517049593,16.60460674209663,16.225669391888495,bin_543,0.4093333333333333,-0.09733333333333327,True,True,False
102,447.0,48.0,0,447.084131999,48.01344490859999,558,228,False,64.09808344071685,6.317558540605262,1.7464477247605519,9.246943171701515,-7.3576635703951165,bin_544,0.328,-0.08133333333333331,True,True,False
103,451.0,44.0,0,451.06976214900004,44.095781028400005,558,228,False,64.66949994967743,5.802076451105264,1.5391408139712002,-42.054020057297166,-51.30096322899868,bin_464,0.40175000000000005,0.07375000000000004,True,True,True
104,455.0,38.0,0,455.02783929099996,38.0757155158,558,228,False,65.23696620659497,5.009962567868421,1.9488071805661582,-54.38238567231552,-12.328365615018356,bin_465,0.40266666666666673,0.0009166666666666767,True,True,False
105,460.0,36.0,0,459.992627755,35.958790014899996,558,228,False,65.9487638358423,4.7314197388026304,1.5287144568245465,-21.3715522150483,33.010833457267225,bin_385,0.45125,0.048583333333333256,True,True,True
106,462.0,39.0,0,462.04991188400004,38.892136174099996,558,228,False,66.24371496544802,5.117386338697369,0.9715274264579373,52.61336348910122,73.98491570414951,bin_466,0.30783333333333335,-0.14341666666666664,False,True,True
107,462.0,44.0,0,462.056795611,43.919698043900006,558,228,False,66.24470187971326,5.778907637355264,1.3230440696783994,89.91452130067107,37.30115781156985,bin_466,0.3094166666666667,0.0015833333333333255,True,True,True
108,458.0,52.0,0,458.09434162,51.9146422835,558,228,False,65.67660811756272,6.830873984671053,2.3911200040811638,118.37039292462026,28.455871623949193,bin_545,0.316,0.00658333333333333,True,True,False
109,456.0,55.0,0,456.002991616,55.0547149984,558,228,False,65.37677299154122,7.244041447157895,1.0209964835476144,125.96834650040698,7.597953575786718,bin_625,0.2916666666666667,-0.024333333333333318,True,True,False
110,457.0,61.0,0,456.94606649400004,60.9710249958,558,228,False,65.51198085935484,8.022503288921053,1.5802329025811266,80.146824243802,-45.82152225660498,bin_705,0.31916666666666665,0.02749999999999997,True,True,True
111,457.0,65.0,0,456.99510013,65.0225107106,558,228,False,65.51901077132617,8.555593514552632,1.0662731513571038,89.24447884920616,9.09765460540416,bin_705,0.32125,0.002083333333333326,True,True,False
112,455.0,65.0,0,455.034573891,65.0813294573,558,228,False,65.23793174064515,8.563332823328947,0.5623711172843542,178.42280045222913,89.17832160302297,bin_705,0.32333333333333336,0.0020833333333333814,False,True,True
113,454.0,66.0,0,453.996791824,66.0159669289,558,228,False,65.08914578121865,8.686311438013158,0.38606217837085827,140.42466250942005,-37.99813794280908,bin_705,0.3254166666666667,0.002083333333333326,False,True,True
114,452.0,66.0,0,452.01587039199995,66.0231009269,558,228,False,64.80514270853045,8.687250121960526,0.568009247896153,179.8106272860796,39.38596477665956,bin_704,0.3285,0.003083333333333327,False,True,True
115,449.0,66.0,0,449.024568167,66.0094307754,558,228,False,64.37628217448028,8.68545141781579,0.8577286120968568,-179.7596944843001,0.42967822962032187,bin_704,0.3304166666666667,0.0019166666666666776,False,True,False
116,447.0,65.0,0,446.99221324800004,65.0213905972,558,228,False,64.08490512516128,8.555446131210525,0.6381283865027836,-155.95474433387486,23.804950150425242,bin_704,0.33233333333333337,0.0019166666666666776,False,True,False
