frames,interpolated,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix,pos_x_mm,pos_y_mm,speed_mm_s,angle_counterclock,angle_delta,bin_ID,concentration,concentration_delta,moving,wall,turn
40,,478.0,144.0,21,478.000246589,144.013857731,551,214,False,69.40112473161524,20.188858560420563,0.2856302424028996,-90.0241600216147,0.044386277115094686,bin_1669,0.23333333333333334,0.001333333333333353,False,True,False
41,,477.0,143.0,21,477.017928239,143.005246589,551,214,False,69.25850137771326,20.04746447509346,0.4016650766185093,-135.24798287608067,-45.223822854465965,bin_1669,0.23466666666666666,0.0013333333333333253,False,True,True
42,,477.0,143.0,21,476.98969936099996,142.984123062,551,214,False,69.25440281103447,20.044503232990657,0.010112804479849085,-144.15163453597637,-8.9036516598957,bin_1669,0.236,0.0013333333333333253,False,True,False
43,,477.0,143.0,21,476.99534808199996,142.993229049,551,214,False,69.25522295201452,20.0457797732243,0.0030345913697059517,57.28040267626116,-158.56796278776247,bin_1669,0.23733333333333334,0.001333333333333353,False,True,True
44,,478.0,144.0,21,477.980390939,143.979599197,551,214,False,69.3982418786207,20.18405596219626,0.39786790674389316,44.034063906947466,-13.246338769313695,bin_1669,0.23866666666666667,0.0013333333333333253,False,True,False
45,,477.0,144.0,21,477.027508637,144.00937712200002,551,214,False,69.25989236108893,20.188230437663556,0.276824964529568,178.2717158395461,134.23765193259862,bin_1669,0.24,0.0013333333333333253,False,True,True
46,,477.0,143.0,21,476.994082745,143.022143943,551,214,False,69.2550392370236,20.04983326303738,0.2769644797276453,-92.00834761091765,89.71993654953627,bin_1669,0.24133333333333334,0.001333333333333353,False,True,True
47,,477.0,144.0,21,476.997020725,143.973473179,551,214,False,69.25546580399275,20.18319717462617,0.26672918755652636,89.81673900101448,-178.17491338806786,bin_1669,0.24266666666666667,0.0013333333333333253,False,True,True
48,,477.0,144.0,21,476.99885254699996,144.006284964,551,214,False,69.25573176725952,20.187796957570097,0.009214931272780108,86.6907950331458,-3.125943967868679,bin_1669,0.244,0.0013333333333333253,False,True,False
49,,477.0,144.0,21,476.999570555,144.003116411,551,214,False,69.25583601524501,20.187352767897195,0.0009125176337823077,-76.79214626113803,-163.48294129428382,bin_1669,0.24533333333333335,0.001333333333333353,False,True,True
